Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector,Industry,1-Month High,1-Month Low,1-Year Beta,3-Month High,3-Month Low,3-Month Performance,5Y Performance,6-Month High,6-Month Low,6-Month Performance,52 Week High,52 Week Low,All Time High,All Time Low,Average Volume (10 day),Average Volume (30 day),Average Volume (60 day),Average Volume (90 day),Cash and short term investments (FY),Cash and short term investments (MRQ),Cash & Equivalents (FY),Cash & Equivalents (MRQ),"Change 1M, %","Change 1W, %",Country,Debt to Equity Ratio (MRQ),Current Ratio (MRQ),Dividends per share (Annual YoY Growth),Dividends per Share (FY),Dividends per Share (MRQ),Dividend Yield Forward,EBITDA (Annual YoY Growth),EBITDA (Quarterly QoQ Growth),EBITDA (Quarterly YoY Growth),EBITDA (TTM),EBITDA (TTM YoY Growth),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),EPS Diluted (Annual YoY Growth),EPS Diluted (FY),EPS Diluted (MRQ),EPS Diluted (Quarterly QoQ Growth),EPS Diluted (Quarterly YoY Growth),EPS Diluted (TTM),EPS Diluted (TTM YoY Growth),EPS Forecast (MRQ),Exponential Moving Average (5),Exponential Moving Average (20),Exponential Moving Average (30),Exponential Moving Average (100),Free Cash Flow (Annual YoY Growth),Free Cash Flow Margin (FY),Free Cash Flow Margin (TTM),Free Cash Flow (Quarterly QoQ Growth),Free Cash Flow (Quarterly YoY Growth),Free Cash Flow (TTM YoY Growth),Gross Margin (FY),Gross Margin (TTM),Gross Profit (Annual YoY Growth),Gross Profit (FY),Gross Profit (MRQ),Gross Profit (Quarterly QoQ Growth),Gross Profit (Quarterly YoY Growth),Gross Profit (TTM YoY Growth),Money Flow (14),Net Debt (MRQ),Net Income (Annual YoY Growth),Net Income (FY),Net Income (Quarterly QoQ Growth),Net Income (Quarterly YoY Growth),Net Income (TTM YoY Growth),Net Margin (FY),Net Margin (TTM),Operating Margin (FY),Operating Margin (TTM),Price to Book (FY),Price to Book (MRQ),Price to Free Cash Flow (TTM),Price to Revenue Ratio (TTM),Price to Sales (FY),Quick Ratio (MRQ),Recent Earnings Date,Relative Strength Index (7),Relative Strength Index (14),Research & development Ratio (FY),Research & development Ratio (TTM),Return on Assets (TTM),Return on Equity (TTM),Return on Invested Capital (TTM),Revenue (Annual YoY Growth),Revenue per Employee (FY),Revenue (Quarterly QoQ Growth),Revenue (Quarterly YoY Growth),Revenue (TTM YoY Growth),Shares Float,Simple Moving Average (5),Simple Moving Average (10),Simple Moving Average (30),Simple Moving Average (100),Total Assets (Annual YoY Growth),Total Assets (MRQ),Total Assets (Quarterly QoQ Growth),Total Assets (Quarterly YoY Growth),Total Debt (Annual YoY Growth),Total Current Assets (MRQ),Total Debt (MRQ),Total Debt (Quarterly QoQ Growth),Total Debt (Quarterly YoY Growth),Total Liabilities (FY),Total Liabilities (MRQ),Total Revenue (FY),Total Shares Outstanding,Upcoming Earnings Date,Volatility,Volatility Month,Volatility Week,Volume Weighted Average Price,Volume Weighted Moving Average (20),YTD Performance,Weekly Performance,Yearly Performance,Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (200),Pretax Margin (TTM),Dividends Paid (FY),Exponential Moving Average (50),Exponential Moving Average (10),Basic EPS (FY),Monthly Performance,Change from Open %
BABA,Alibaba Group Holding Limited,94,2.40766968,2.21,Strong Buy,24160733,2271108902,243095426755.15552,23.58372221,4.0185,235216,Retail Trade,Internet Retail,95.03,82.64,0.5051593,99.17,77.77,-1.95567145,-50.15906681,121.3,77.77,-17.91826755,121.3,58.01,319.32,57.2,19263607,17536489.83333333,19798941.68333333,22216085.45555556,81621979525.1635,81621979525.1635,33398575347.249702,33398575347.249702,12.77744451,3.8100497,China,0.16303225,1.81124741,,0,0,,-4.33429647,-49.27006594,16.66079205,20982103620,6.36742339,9.73909108,227967000000,13.09587649,4.0071,1.5590547,-47.68148766,,3.9858,30.00424019,1.9745368,90.72075358,87.49752998,87.05939229,88.60628244,,,,,,,35.16663654,35.147334,-5.54080327,44557138695.0886,9775323480.54467,-24.5677461,-0.34630271,-5.46428651,69.52458572,-58141548491.3082,9.53789148,10575844450.984,-47.7544157,,23.60665146,8.34696502,8.26013833,11.86445751,11.82940397,1.67248746,1.67248746,,1.93872569,1.95804164,,2023-05-18,79.66813854,66.52939951,6.53215715,6.54676888,4.00208205,7.12220434,6.13288665,-4.68536554,538666.04563252,-12.59672394,-5.32435977,-4.81974147,2589923635.875,90.148,87.06,86.34166667,88.2378,-4.56455762,255112233241.41,0.07277569,-4.56455762,-15.66180508,101568864279.633,23480431033.8553,2.1297747,-15.66180508,91696268108.296,91696268108.296,126702872589.498,2602125000,2023-08-17,3.50081037,2.40438997,3.78236709,93.86,88.59852622,3.1719899,11.93141224,-15.20837092,87.544,85.4462,88.4956,10.1945846,,87.20191384,88.79814636,4.0327,9.28961749,-0.1168845
PDD,PDD Holdings Inc.,75.34,6.05292793,4.3,Buy,14634553,1102567223.02,100095750000,20.18432192,4.2311,12992,Retail Trade,Internet Retail,83.4,66.401,0.0361868,83.4,59.67,10.74525944,173.56572259,106.38,59.67,-20.10604454,106.38,38.8,212.5965,16.53,6993855.4,9498273.7,8916157.16666667,9515283.55555556,29836294863.1273,30258744442.9081,13277387833.192001,10283984662.0632,8.9673127,7.62857143,Ireland,0.13417733,1.9438465,,0,0,,278.18323222,,,,,,83222400000,286.23265742,3.2571,1.0073444,-11.22930146,181.17401876,3.7326,156.39510922,1.00914347,72.00131203,71.36856772,71.12113971,72.93736662,79.8359171,36.66745407,,,,,75.90159389,75.43550548,54.45953599,14716290547.0116,3874842320.3980303,-10.74240451,47.88968076,50.856899,59.60235502,-27788552282.136303,288.82140966,4683605840.3791,-10.87294268,189.17239079,160.72137971,24.1564372,25.68926384,23.2862151,24.39900114,5.86835993,5.17432261,,5.23939674,5.59677711,1.9438465,2023-05-26,66.80014627,58.46692282,7.95412667,7.09962292,17.56055825,35.43481883,32.59554262,33.09675296,1492352.59730615,-1.6928328,46.77502958,41.1460024,1312220234.52742,70.842,70.559,72.19266667,74.0881,19.96743205,34934733732.5462,2.41895944,31.33968748,21.6697371,31405068940.678,2470192160.77182,1.40372207,4.95463858,17168324582.476402,16524827084.4094,19388644944.2015,1328587099,2023-08-24,6.4564978,3.69709718,4.54238685,74.57,73.53540523,-11.89334581,6.27733108,37.10646042,72.6855,68.8006,75.5728,29.70819523,0,71.27731643,71.45829228,3.7043,-0.86842105,0.92431346
NTES,"NetEase, Inc.",102.8,4.20679169,4.15,Strong Buy,1547005,159032114,60842348278.10924,20.31781168,5.1095,31119,Technology Services,Packaged Software,102.82,92.26,0.42398068,102.82,80.79,14.4766147,97.52517101,102.82,76.85,19.22987706,102.82,53.09,134.33,0.0255,1084412,1147709.53333333,1175231.75,1163722.75555556,17284751499.6334,17976001513.420498,3968533596.09884,2442467603.33823,6.31916434,6.58372214,China,0.28647118,2.3297665,18.70689655,1.377,0.4625,1.5408008,9.3659511,65.97903635,22.80313081,3580662460,9.97604492,13.40032076,44740800000,14.43259122,4.4409,1.6915234,78.43437316,45.24722116,5.0596,28.9037222,1.24146335,99.29860001,96.34851928,94.99354601,89.92730317,5.15603492,26.53894432,27.85837884,-36.36070873,29.45164008,16.54256507,54.68229817,55.98946344,7.59425566,7836110408.67947,2177213281.29439,16.98377743,7.68158315,5.26014869,61.50913797,-13446967265.0013,12.00374165,2927468576.20647,77.73586393,42.63886591,22.98152681,20.42859291,22.57480307,20.34139431,21.82067027,4.39928379,4.14375442,16.81869233,4.68541503,4.72888084,2.31470473,2023-05-25,74.10863797,66.96542273,15.58514733,15.70051268,12.63979309,20.6737019,20.0049805,5.49607765,460498.43137011,2.74621305,-1.33954785,1.12086332,637244021.0988,98.208,97.93,94.23033333,89.2677,3.08774227,25937912498.0898,4.37112657,3.31474188,20.28416405,19725007385.2018,4529034248.41924,10.61797503,11.11835887,9190198800.29356,9541530446.6773,14330250685.8064,637267600,2023-08-09,4.11689209,1.78000192,2.22508738,102.30333333,97.2262427,34.89043433,4.74831873,18.69299157,96.8535,91.693,81.9073,27.671911,-998507962.536322,93.0645741,98.05340527,4.4852,11.46047924,0.97239957
BIDU,"Baidu, Inc.",148.83,3.83729854,5.5,Strong Buy,2526452,376011851.16,49976444122.72684,25.25624491,5.9522,41300,Technology Services,Internet Software/Services,151,133.27,0.5329876,151,115.74,8.96910236,-41.97434598,160.88,115.74,9.91875923,160.88,73.5801,354.82,4.444,1881099.5,2238901.66666667,2467892.88333333,2792898.45555556,26658946732.454197,28233590663.3582,9276292129.9827,5077235387.85039,8.70644949,4.32496846,China,0.41038267,2.93589087,,0,0,,100.38075599,11.5727546,50.11619091,3663985300,42.82321274,10.37881954,41571400000,-32.30348693,2.9471,2.343677,20.76563207,,5.8928,,2.38017992,144.3614677,140.6298153,138.78409045,134.26754599,85.65773654,14.46048109,,,,,48.30402264,49.73564598,-4.92155,8871775726.23987,2337319993.13532,3.10642636,15.34303424,-1.77214887,50.76942802,-14492458362.740599,-32.42455686,1034792990.6334,22.32036506,,,5.63412169,11.26373405,12.86517081,14.44967781,1.58979982,1.5618451,,2.86355133,2.84527979,2.93589087,2023-05-16,68.27441811,61.89943539,18.85182939,18.33403589,3.53159047,6.20339197,4.68013771,-4.85218312,444710.31570328,-2.06916799,1.7152924,-5.18825053,276061700.26872295,143.192,141.446,138.77733333,136.03,-5.68059315,58350953527.7976,3.75098118,-1.46607638,-11.50839934,33354191374.957,13741132300.617601,4.56491168,-4.82487847,22033171742.163998,22323391808.6103,18366536038.5456,276449559,2023-08-01,4.87285223,2.93238363,3.2748795,148.25,142.59062225,25.21453811,5.54570598,3.22513525,142.357,132.3986,125.27945,15.00530844,0,136.64824615,142.73423727,2.9757,10.3343465,0.94275638
NIO,NIO Inc.,11.16,3.23774283,0.35,Buy,61251398,683565601.6800001,16551999489.432299,,-1.5428,,Consumer Durables,Motor Vehicles,11.22,8.28,1.199845,11.22,7,21.17263844,68.58006042,13.22,7,-2.44755245,22.74,7,66.99,1.19,59838905.9,66038580.53333333,55887104.58333334,50810198.65555555,6072303465.339479,5157638045.06787,3314558309.47829,2561178867.40832,15.17027864,11.71171171,China,1.44736228,1.27731928,,0,0,,-408.02010106,,,,,,16868099999.999998,-24.80092104,-1.3008,-0.3653807,13.87821161,-140.64443188,-1.5428,-109.56261885,-0.41177486,10.62586407,9.65735725,9.34238638,9.37384824,-345.35158513,-19.9362246,,,,,8.78152906,7.79704614,-33.90402976,642518085.8415741,23719442.4941099,-72.8519357,-89.59200059,-45.77635884,80.48320107,-1025352124.9736,-31.8975759,-2162171589.19525,14.55204699,-144.22826701,-116.93606057,-29.55118783,-34.97642866,-32.9406556,-38.37994418,4.91998413,6.52963789,,2.53135155,2.53525573,1.11963449,2023-06-09,76.67275001,70.06853678,21.31818707,24.25379088,-19.01827417,-61.98684849,-38.4380478,30.58297486,,-30.87130866,-0.03989954,22.54380391,1512321901.2669399,10.46,10.115,8.96866667,8.8426,6.57628123,12999028500.3309,-6.21152135,-5.43631481,8.0201078,7516323551.88188,4132285920.09427,20.94794118,18.6559233,9838404275.21337,9584789539.93457,7316699423.27699,1521955882,2023-09-26,4.76190476,5.88096647,7.24666584,11.03,9.67722034,9.30460333,11.48851149,-45.32092112,9.5895,8.5982,10.29105,-34.83345935,0,9.08740312,10.19788642,-1.3008,37.94808405,1.27041742
XPEV,XPeng Inc.,15.15,1.20240481,0.18,Buy,19286566,292191474.90000004,13087899384.40182,,-1.6645,15829,Consumer Durables,Motor Vehicles,15.55,9.64,1.8040541,15.55,7.505,50,-34.41558442,15.55,7.505,57.32087227,30.4445,6.18,74.49,6.18,22782154.3,18098568.83333333,15032008.03333333,14303773.13333333,4506139361.59506,3783149806.82054,2116611188.63014,1329844656.09696,12.89120715,6.99152542,China,0.365988,1.68165383,,0,0,,-21.0518522,,,,,,7618010000,-72.67676217,-1.585,-0.3944947,-2.7986525,-26.0565618,-1.6645,-57.1024068,-0.29004131,14.56204411,12.59748885,11.87252406,10.674786,-237.53198374,-44.54252457,,,,,11.5001948,9.59916047,11.32149467,458646004.468331,9797100.66157202,-84.33498275,-93.17046095,-38.01930848,77.34792187,-1948142639.90044,-79.98915807,-1357196350.0566702,-2.94230723,-27.49832167,-58.59140395,-34.03065166,-41.62277983,-32.82313141,-40.24334679,2.45454634,2.599359,,3.80089599,3.25273971,1.49057126,2023-05-24,81.62829303,76.01097254,19.41840585,22.49971539,-14.02079572,-25.05729202,-21.81315566,22.55051948,251952.65451306,-18.38837823,-49.79721702,-13.75076516,668468029.6248901,14.514,13.838,11.01433333,9.9876,-0.16454262,9816721115.85663,-4.54337685,-7.04036194,410.12322156,5538503168.72453,1835007166.9201,-29.20429305,157.46401386,4928592862.17765,4802875935.88331,3988158568.2872906,688740415,2023-08-23,4.8550236,5.70066747,5.43227922,15.17666667,12.70576413,42.52116651,9.0712743,-47.61410788,12.2775,10.4446,9.79145,-41.51868121,0,11.11792156,13.79269684,-1.585,56.99481865,-2.19496449
TME,Tencent Music Entertainment Group,7.79,3.45285525,0.26,Strong Buy,4897066,38148144.14,12465462294.137459,20.30231952,0.3894,5805,Technology Services,Internet Software/Services,8.395,7.095,0.51232624,8.395,6.52,2.77044855,-45.29494382,9.08,6.52,-8.9953271,9.29,3.14,32.2481,2.95,3590142.1,6686720.86666667,6181192.68333333,6251688.86666667,3008904296.79075,2987841702.01617,1379374829.17849,1770993255.09141,5.55555556,7.44827586,China,0.11498627,2.35382514,,0,0,,12.72747215,,,,,,11127100000,20.8736126,0.3376,0.1062661,4.43349754,82.44406196,0.3837,51.54028436,0.12533432,7.51985791,7.5171374,7.53612873,7.50554942,51.32993181,25.95363282,,,,,30.08927626,34.87056447,-10.92904026,1266314556.70652,338350161.58756,-1.60156462,15.48788621,6.53097937,62.0952824,-2134796306.6714,16.26692811,546058241.4694331,3.73796666,74.9133577,45.37006162,12.97505205,14.66325671,11.34831857,13.13875911,0.78373533,1.63145803,,2.94532647,2.9935447,2.35273224,2023-05-16,66.46965601,56.22470025,9.10406154,,5.99932221,8.15446621,7.34352748,-13.12801729,724982.68352038,-1.88828975,-2.1828748,-10.61505959,883399274.42431,7.418,7.418,7.56366667,7.622,-8.65351114,10057408121.5392,4.33212069,-3.3362949,0.50981396,3760995947.23397,853045395.344769,-0.58481685,1.59504783,2572895838.42804,2481136811.77555,4208524477.83581,883602503,2023-08-14,4.5691906,3.11699354,3.23799291,7.77666667,7.73298359,-7.81065089,5.27027027,74.66367713,7.6115,7.5144,7.03045,17.26284946,0,7.5597116,7.4848882,0.3409,0.1285347,0.64599483
VIPS,Vipshop Holdings Limited,16.76,3.3929673,0.55,Buy,4085046,68465370.96000001,9436897236,10.04013658,1.6857,6815,Retail Trade,Internet Retail,18.48,15.76,0.24679287,18.48,13.8,13.78139851,62.24588577,18.48,13.135,8.12903226,18.48,6.36,46,0.412,2864665.9,4878575.96666667,5204103.81666667,5095573.8,3552987758.3900704,2970157672.2425303,3323417437.46138,2753317520.02733,1.57575758,3.90576565,China,0.0569246,1.21324624,,0,0,,15.16517532,-14.86800927,54.213959,899732530,26.44451593,7.69878381,6416740000,39.52021409,1.4598,0.5124064,-10.15169195,82.10484825,1.6693,73.72255177,0.44519667,16.35273401,16.43203611,16.34547839,15.37207991,86.03246173,8.15029194,,,,,20.95546138,21.33825102,-10.40092163,3210127449.62271,862984814.32135,-10.99845137,9.39097643,-6.67043884,51.4357195,-2702543856.45785,28.87697973,935414845.879664,-13.45320199,57.41203285,55.35712997,6.10631509,6.68107708,5.30536301,5.86089246,2.08427899,2.00735631,,0.6420192,0.70107153,1.03399694,2023-05-23,58.48734684,54.31687003,1.55635799,1.52871673,11.64392877,20.82614183,20.36938103,-15.60159716,2247807.8718011,-9.81626911,1.21344143,-13.52527733,484760544.10456496,16.178,16.332,16.547,15.3893,-3.62720582,8618793192.51722,-8.49209936,-4.21423842,4.35514089,3994691094.8288703,267613815.784685,-49.12572592,-41.59800828,4517235640.20317,3725102119.51654,15318810646.324503,485258905,2023-08-16,4.81526348,3.24006959,3.66882387,16.75833333,17.00983549,19.71428571,0.29922202,75.31380753,16.759,15.9974,13.41745,8.39310899,0,16.08712997,16.38363961,1.4704,-4.5014245,1.33010883
EDU,"New Oriental Education & Technology Group, Inc. Sponsored",46.14,2.37408476,1.07,Buy,1797493,82936327.02,7553140379.802239,,-0.2342,53071,Consumer Services,Other Consumer Services,46.5,36.22,0.4389523,46.7382,35.7,25.58519325,-50.49356223,46.7382,33.98,8.20825516,46.7382,17.01,199.74,5.150003,1382123.9,1539645.4,1749116.11666667,1785796.51111111,4190957000.000001,4381432000,1148637000,1399826000,16.83970625,9.85714286,China,0.12536562,2.40534377,,0,0,,-192.98229885,,,,,,2747140000,-445.86276738,-7.0013,0.56,11193.02325581,,-0.2379,96.09327531,0.477,43.9788065,41.27530474,40.838902,39.40491017,-146.0461319,-7.19247364,,,,,43.5055709,52.44084274,-39.680461,1350955000,384593000,27.34108563,59.35469703,-18.28774318,82.32839557,-3914383000,-455.16485554,-1187721000,11054.09836066,,96.08002797,-38.24885371,-1.53764525,-17.61055324,1.36565595,2.11306694,2.10473401,,2.91523008,2.52066288,2.37324401,2023-04-19,81.0218055,68.61913217,,,-0.63770506,-1.05623632,-0.93864987,-27.3888067,58511.16428935,18.1661637,22.80802031,-29.84272683,166918881.49199998,43.48,41.625,40.63966667,40.0632,-40.55133,6164297000,2.33656116,-7.57097305,-68.5328954,4700797000,467049000,-4.10242511,-46.42790779,2241142000,2287718000,3105246000,169938000,2023-07-26,3.13253012,3.41331428,4.31792958,46.09666667,40.93876128,33.46832514,18.06550665,114.00742115,40.5365,40.1202,36.03835,2.29091106,0,40.45098493,42.43628073,-7.0013,9.46619217,0.30434783
YMM,Full Truck Alliance Co. Ltd.,7,-0.84985836,-0.06,Buy,9294495,65061465,7432779488,51.85185185,0.1352,6795,Technology Services,Packaged Software,7.27,6.105,0.32516256,7.395,5.41,-3.31491713,-68.88888889,10.18,5.41,-24.1603467,10.18,4.58,22.8,4.12,4875557.9,4774678.23333333,5405998.81666667,5411754.43333333,3784421076.85894,3755492480.1908903,751049527.453725,1005611443.78878,12.54019293,1.59651669,China,0.00209662,12.14491563,,0,0,,96.90586783,,,,,,4401550000,,0.056,0.0553166,118.75,,0.135,,0.0647942,6.86597551,6.61187782,6.55180163,6.74472176,65.25244891,-1.37194625,,,,,47.80610617,48.73630739,45.63648859,478056095.37845,124653753.440797,-8.61418511,21.99981707,39.88072835,47.97428357,-3745186667.34573,,60406783.3605084,119.40899849,,,6.04074109,14.11522314,-3.11171782,2.92098852,1.36769504,1.34714607,,7.21789933,7.5529442,12.14491563,2023-05-22,68.68375857,62.48363207,13.57587363,12.99459613,2.68858897,2.90191193,2.89763842,38.4853981,147165.50573294,-7.90500122,18.53230705,29.63883423,857855038.890022,6.848,6.614,6.52966667,6.7459,-5.7835719,5329124180.533581,0.95421462,-3.85063843,720.24463297,4496177012.01274,10305812.845158,-11.02579556,-45.2542531,415625961.994912,391519605.346446,999989611.455316,945973407.8,2023-08-08,5.51523948,4.06662835,6.44871705,7.05333333,6.65634198,-14.37308869,10.06289308,-17.15976331,6.6385,6.2998,7.05245,15.80448468,0,6.55150176,6.73171672,0.0561,4.63378176,-3.44827586
BILI,Bilibili Inc.,16.7,7.74193548,1.2,Buy,7696584,128532952.8,6443663486.20158,,-2.1574,11092,Technology Services,Packaged Software,18.76,14.42,0.3566859,21.92,14.42,-21.55941757,26.51515152,28.1499,14.42,-38.21679615,29.46,8.23,157.66,8.23,4433563.9,6333820.86666667,4946569.23333333,5364439.98888889,2816406202.79935,2823248761.2505803,1465452623.0994,1489079942.0825398,10.59602649,12.08053691,China,0.72832317,1.43497897,,0,0,,-19.97566006,-226.07006054,36.35065009,-628229980,44.38382149,,8689050000,-1.75387947,-2.8196,-0.3653807,58.03118542,75.54193125,-2.1574,33.94568446,-0.34462436,15.66702118,15.711908,16.10452255,18.46166203,-23.86477246,-21.33321786,,,,,17.57735808,18.87341989,-8.81497835,571645161.435162,161345818.825779,-8.11199812,26.89294947,-1.15692483,58.82505363,-959172711.860696,-5.76201387,-1113354836.83804,56.32097452,74.47718285,32.83492053,-34.23423822,-26.79596363,-38.16557954,-35.37320867,2.36840127,2.709583,,2.14812039,2.02763894,1.43497897,2023-06-01,68.11621258,55.4053944,21.7604624,21.81014067,-12.65609353,-30.39604883,-18.82470783,8.20644173,293199.3956856,-14.15764413,-6.92580834,-0.29488325,327367178.69,15.308,15.287,15.789,19.2871,-26.32442989,5963055218.02711,-0.90173058,-21.04678194,-25.86937648,3487360463.33953,1864076049.38988,-16.62927649,-34.07144789,3825105082.2101502,3403676448.11802,3252167696.9446397,327377000,2023-08-28,9.10921173,3.55939637,4.29462889,16.62246667,16.00598593,-34.45839874,8.79478827,-31.27572016,15.7745,16.973,19.08965,-26.35756299,0,16.96996329,15.50286998,-2.8196,2.01588271,1.85411076
BZ,KANZHUN LIMITED - American Depository Shares,16.57,6.21794872,0.97,Buy,4114729,68181059.53,6327550092.181439,309.14179104,0.0592,5602,Technology Services,Internet Software/Services,17.78,14.28,0.5057614,19.32,13.13,-5.69151964,-50.53731343,26.26,13.13,-31.61370202,26.33,9.745,44.96,9.745,1903684.7,3377889.63333333,3097280.66666667,2953837.5,1900242099.05493,1958150134.24331,1402797013.68012,910172951.970713,10.09966777,11.95945946,China,0.02340541,4.52342024,,0,0,,,,,,,,6715880000,,0.0349,0.0786078,,,0.0536,,0.09649138,15.61463727,15.39307694,15.56544066,17.20247334,-47.82912661,17.88168768,,,,,83.26644591,82.29336669,-2.88564924,557820101.3504831,150596076.110978,21.79963419,-0.46294052,-9.96142121,46.78688277,-1918070534.13562,,15926574.9541445,,,,2.3773781,3.81990837,-3.26118329,-4.72440373,3.58500486,4.18709254,,11.07219014,11.28056441,4.52342024,2023-05-24,69.98067656,58.37842788,26.21812779,26.34514725,1.19280314,1.52118519,1.50185615,1.44250044,119586.1895393,22.7750407,4.17858725,-5.44013066,346122418.412875,15.27,15.2,15.199,17.583,-0.35394819,2183527870.9517603,2.37652162,0.84105693,-12.99858425,2030981031.30887,40079600.10768531,-5.56136649,-12.91353268,458320123.135353,471120586.159472,669921833.79918,362291487.5,2023-08-24,9.15233415,4.40323404,4.75664545,16.64666667,15.88738816,-21.0952381,8.86990802,-32.88780883,15.4915,16.0904,18.2025,4.25910752,0,16.07173111,15.38845692,0.0367,8.44240838,1.46968769
